,type,Titulo_movie,cast,country,date_added,release_year,rating,Duration_movie,description,number
5253,Movie,What Would Sophia Loren Do?,"Nancy ""Vincenza Careri"" Kulik, Sophia Loren",United States,"January 15, 2021",2021,TV-14,32 min,"In this delightful short documentary, an Italian American grandmother and film buff finds strength and joy in the life of her screen idol, Sophia Loren.",8
1080,Movie,"Crack: Cocaine, Corruption & Conspiracy",,United States,"January 11, 2021",2021,TV-MA,90 min,"A cheap, powerful drug emerges during a recession, igniting a moral panic fueled by racism. Explore the complex history of crack in the 1980s.",3
4663,Movie,The Night Clerk,"Tye Sheridan, Ana de Armas, Helen Hunt, John Leguizamo, Johnathon Schaech, Jacque Gray",United States,"June 6, 2020",2020,R,90 min,"After a charming guest checks in, a voyeuristic hotel clerk on the autism spectrum becomes a suspect in a murder that takes place during his shift.",8
1620,Movie,Full Out 2: You Got This!,"Sydney Cope, Logan Edra, Liza Wilk, Braedyn Bruner, Billie Merritt",United States,"January 1, 2021",2020,TV-Y,91 min,"With a championship on the line, Chayse and her gymnastics team look to a local break-dancer for all the right moves to rise above their competition.",8
4669,Movie,The Old Guard,"Charlize Theron, KiKi Layne, Marwan Kenzari, Luca Marinelli, Harry Melling, Van Veronica Ngo, Matthias Schoenaerts, Chiwetel Ejiofor",United States,"July 10, 2020",2020,R,126 min,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,3
1962,Movie,Horse Girl,"Alison Brie, Debby Ryan, Paul Reiser, John Reynolds, Molly Shannon, John Ortiz, Meredith Hagner, Jake Picking, David Paymer, Jay Duplass",United States,"February 7, 2020",2020,R,104 min,"A sweet misfit with a fondness for crafts, horses and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.",1
4718,Movie,The Princess Switch: Switched Again,"Vanessa Hudgens, Nick Sagar, Sam Palladio, Mia Lloyd, Lachlan Nieboer, Ricky Norwood, Florence Hall, Suanne Braun, Mark Fleischmann",United States,"November 19, 2020",2020,TV-G,97 min,"When Margaret's Christmas coronation complicates her love life, her double Stacy steps in to save the day. But will a third look-alike ruin their plan?",9
1574,Movie,Fortune Feimster: Sweet & Salty,Fortune Feimster,United States,"January 21, 2020",2020,TV-MA,61 min,"Actor, comedian and writer Fortune Feimster takes the stage and riffs on her southern roots, sexual awakenings, showbiz career and more.",4
1420,Movie,Eric Andre: Legalize Everything,Eric André,United States,"June 23, 2020",2020,TV-MA,52 min,"Eric Andre takes the stage in New Orleans and tackles flawed fast-food icons, the wonders of autofill and the bizarre choice for the ""Cops"" theme song.",3
1429,Movie,Eurovision Song Contest: The Story of Fire Saga,"Will Ferrell, Rachel McAdams, Dan Stevens, Melissanthi Mahut, Mikael Persbrandt, Ólafur Darri Ólafsson, Graham Norton, Demi Lovato, Pierce Brosnan",United States,"June 26, 2020",2020,PG-13,124 min,"Two small-town singers chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.",2
1456,Movie,Extraction,"Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda, Golshifteh Farahani, Pankaj Tripathi, David Harbour",United States,"April 24, 2020",2020,R,117 min,A hardened mercenary's mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.,3
1674,Movie,George Lopez: We'll Do It For Half,George Lopez,United States,"June 30, 2020",2020,TV-MA,52 min,"Comedian George Lopez tackles the future and the past of Latinx culture in America, touching on immigration, his tough relatives, aging and much more.",8
1715,Movie,Giving Voice,"Viola Davis, Denzel Washington, Stephen Henderson, Freedom Martin, Nia Sarfo, Cody Merridith, Gerardo Navarro, Aaron Guy, Callie Holley",United States,"December 11, 2020",2020,PG-13,91 min,"Six ambitious student actors audition for the prestigious August Wilson Monologue Competition, culminating in a riveting final round on Broadway.",1
1498,Movie,Feel the Beat,"Sofia Carson, Wolfgang Novogratz, Donna Lynne Champlin, Eva Hauge, Rex Lee, Brandon Kyle Goodman, Lidya Jewett, Sadie Lapidus, Johanna Colón, Shaylee Mansfield, Shiloh Nelson, Justin Allan, Carina Battrick, Kai Zen, Marissa Jaret Winokur, Enrico Colantoni, Dennis Andres",United States,"June 19, 2020",2020,TV-G,110 min,"After blowing a Broadway audition, a self-centered dancer reluctantly returns home and agrees to coach a squad of young misfits for a big competition.",1
4721,Movie,The Prom,"Meryl Streep, James Corden, Nicole Kidman, Kerry Washington, Andrew Rannells, Keegan-Michael Key, Jo Ellen Pellman, Ariana DeBose, Mary Kay Place, Kevin Chamberlin, Tracey Ullman, Logan Riley, Sofia Deler, Nico Greetham, Nathaniel J. Potvin",United States,"December 11, 2020",2020,PG-13,132 min,A group of down-on-their-luck Broadway stars shake up a small Indiana town as they rally behind a teen who just wants to attend prom with her girlfriend.,5
1914,Movie,Hillbilly Elegy,"Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos",United States,"November 24, 2020",2020,R,117 min,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",3
4568,Movie,The Last Thing He Wanted,"Anne Hathaway, Ben Affleck, Willem Dafoe, Toby Jones, Rosie Perez, Edi Gathegi, Mel Rodriguez, Onata Aprile",United States,"February 21, 2020",2020,R,116 min,A hard-hitting reporter becomes entangled in the story she’s trying to break when she helps her ailing father broker an arms deal in Central America.,3
1932,Movie,Holidate,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher, Jessica Capshaw, Andrew Bachelor, Cynthy Wu, Alex Moffat, Manish Dayal",United States,"October 28, 2020",2020,TV-MA,105 min,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",8
4556,Movie,The Last Days of American Crime,"Edgar Ramírez, Michael Pitt, Anna Brewster, Patrick Bergin, Sharlto Copley, Brandon Auret, Tamer Burjaq, Terence Maynard, James Richard Marshall",United States,"June 5, 2020",2020,TV-MA,149 min,"A bank robber joins a plot to commit one final, historic heist before the government turns on a mind-altering signal that will end all criminal behavior.",1
1489,Movie,Fatal Affair,"Nia Long, Omar Epps, Stephen Bishop, Maya Stojan, Aubrey Cleland, Carolyn Hennesy",United States,"July 16, 2020",2020,TV-14,90 min,A lawyer is caught in a terrifying game of cat and mouse when a drink with an old friend escalates into an obsession that jeopardizes everyone she loves.,6
1488,Movie,Fat Ballerina - David A. Arnold,David A. Arnold,United States,"March 2, 2020",2020,TV-MA,61 min,"Finally comfortable in his skin, seasoned comic David A. Arnold shares his talent for doing nothing, how he's petty and why divorce saves marriages.",6
1995,Movie,Hubie Halloween,"Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Steve Buscemi, Maya Rudolph, Rob Schneider, June Squibb, Kenan Thompson, Tim Meadows, Michael Chiklis, Karan Brar, George Wallace, Paris Berelc, Noah Schnapp, China Anne McClain, Colin Quinn, Kym Whitley, Lavell Crawford, Mikey Day, Jackie Sandler, Sadie Sandler, Sunny Sandler",United States,"October 7, 2020",2020,PG-13,104 min,"Hubie's not the most popular guy in Salem, Mass., but when Halloween turns truly spooky, this good-hearted scaredy-cat sets out to keep his town safe.",5
4974,Movie,Tom Segura: Ball Hog,Tom Segura,United States,"March 24, 2020",2020,TV-MA,70 min,"Tom Segura scores laughs with uncomfortably candid stories about mothers, fathers, following your dreams — and other things you'd rather not think about.",4
2049,Movie,I'm Thinking of Ending Things,"Jessie Buckley, Jesse Plemons, Toni Collette, David Thewlis, Guy Boyd",United States,"September 4, 2020",2020,R,135 min,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,8
2057,Movie,If Anything Happens I Love You,,United States,"November 20, 2020",2020,PG,13 min,Grieving parents journey through an emotional void as they mourn the loss of a child in the aftermath of a tragic school shooting.,8
1860,Movie,Have a Good Trip: Adventures in Psychedelics,"Nick Offerman, Adam Scott",United States,"May 11, 2020",2020,TV-MA,86 min,"Explore hallucinogenic highs and lows as celebrities share funny, mind-blowing tales via animations, reenactments and more in this documentary.",9
1838,Movie,Hard Kill,"Jesse Metcalfe, Bruce Willis, Natalie Eva Marie, Lala Kent, Texas Battle, Swen Temmel, Sergio Rizzuto, Tyler Jon Olson, Jon Galanis",United States,"November 23, 2020",2020,R,98 min,"When a billionaire hires a team of mercenaries for protection, they soon realize world-changing technology and his daughter’s life are also at stake.",1
4639,Movie,The Midnight Sky,"George Clooney, Felicity Jones, Kyle Chandler, Demián Bichir, David Oyelowo, Tiffany Boone, Caoilinn Springall, Sophie Rundle, Ethan Peck",United States,"December 23, 2020",2020,PG-13,119 min,"In the aftermath of a global catastrophe, a lone scientist in the Arctic races to contact a crew of astronauts with a warning not to return to Earth.",4
4973,Movie,Tom Papa: You're Doing Great!,Tom Papa,United States,"February 4, 2020",2020,TV-14,60 min,"Comedian Tom Papa takes on body image issues, social media, pets, Staten Island, the ""old days"" and more in a special from his home state of New Jersey.",7
4616,Movie,The Main Event,"Seth Carr, Tichina Arnold, Adam Pally, Ken Marino, Mike 'The Miz' Mizanin, Momona Tamada, Keith Lee, Babatunde Aiyegbusi, Kofi Kingston",United States,"April 10, 2020",2020,TV-G,103 min,"Using special powers from a magical mask, a young WWE fan causes chaos when he enters a wrestling competition and fights an intimidating rival.",3
4614,Movie,The Magic School Bus Rides Again Kids In Space,"Kate McKinnon, Matthew Mucci, Mikaela Blake, Gabby Clarke, Roman Lutterotti, Leke Maceda-Rustecki, Birva Pandya, Lynsey Pham, Kaden Stephen",United States,"August 7, 2020",2020,TV-Y,46 min,The Magic School Bus kids blast into orbit — and onto the International Space Station — only to find themselves on the run from a giant tardigrade!,3
4607,Movie,The Lovebirds,"Issa Rae, Kumail Nanjiani, Paul Sparks, Anna Camp, Kyle Bornheimer, Nicholas X. Parsons, Andrene Ward-Hammond, Catherine Cohen, Barry Rothbart",United States,"May 22, 2020",2020,R,87 min,"When a couple in the fast lane to splitsville accidentally careens into a murder, they take off on a wild race to find the killer and clear their names.",3
4603,Movie,The Lost Husband,"Leslie Bibb, Josh Duhamel, Nora Dunn, Sharon Lawrence, Callie Hope Haverda, Roxton Garcia",United States,"August 10, 2020",2020,PG-13,110 min,"Looking to start anew, a widow retreats with her children to her aunt's goat farm, where the ranch's manager helps her navigate country life and loss.",9
4791,Movie,The Sleepover,"Sadie Stanley, Maxwell Simkins, Ken Marino, Malin Akerman, Cree Cicchino, Lucas Jaye, Karla Souza, Enuka Okuma, Erik Griffin, Joe Manganiello",United States,"August 21, 2020",2020,TV-PG,104 min,What do you do if your parents are kidnapped by a crew of international thieves? You begin a wild overnight adventure — complete with spy gear.,5
1787,Movie,Guest House,"Pauly Shore, Mike Castle, Aimee Teegarden, Billy Zane, Charlotte McKinney, Louis Ferrigno,  Jr., Erik Griffin, Bobby Lee, Punkie Johnson, Mikaela Hoover, Chris Kattan, Steve-O",United States,"December 18, 2020",2020,R,84 min,The only downside to a young couple’s new dream home — and fresh start — is the nightmare of the raucous houseguest in back who refuses to leave.,1
5022,Movie,Tremors: Shrieker Island,"Michael Gross, Jon Heder, Caroline Langrishe, Cassie Clare, Matthew Douglas, Sahajak Boonthanakit, David Asavanond, Jackie Cruz, Richard Brake",United States,"October 20, 2020",2020,PG-13,102 min,"When massive mutant creatures infiltrate an island nature preserve, scientists recruit a legendary monster hunter to battle the beasts.",5
1038,Movie,Coffee & Kareem,"Ed Helms, Taraji P. Henson, Terrence Little Gardenhigh, Betty Gilpin",United States,"April 3, 2020",2020,TV-MA,88 min,An inept Detroit cop must team up with his girlfriend's foul-mouthed young son when their first crack at bonding time uncovers a criminal conspiracy.,5
1070,Movie,Cops and Robbers,Timothy Ware-Hill,United States,"December 28, 2020",2020,PG-13,8 min,Animation and activism unite in this multimedia spoken-word response to police brutality and racial injustice.,9
4952,Movie,To All the Boys: P.S. I Still Love You,"Lana Condor, Noah Centineo, Jordan Fisher, Anna Cathcart, Janel Parrish, Ross Butler, Madaleine Arthur, Emilija Baranac, Trezzo Mahoro, Holland Taylor, Sarayu Blue, John Corbett",United States,"February 12, 2020",2020,TV-14,102 min,"Lara Jean is officially Peter’s girlfriend, so everything should be perfect, right? But feelings grow complicated when an old crush reenters her life.",7
1007,Movie,Circus of Books,,United States,"April 22, 2020",2020,TV-MA,87 min,"For decades, a nice Jewish couple ran Circus of Books, a porn shop and epicenter for gay LA. Their director daughter documents their life and times.",4
1111,Movie,Da 5 Bloods,"Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis, Isiah Whitlock Jr., Mélanie Thierry, Paul Walter Hauser, Jasper Pääkkönen, Johnny Nguyen, Chadwick Boseman",United States,"June 12, 2020",2020,R,156 min,Four African American veterans return to Vietnam decades after the war to find their squad leader's remains — and a stash of buried gold. From Spike Lee.,6
1131,Movie,Dangerous Lies,"Camila Mendes, Jessie T. Usher, Jamie Chung, Cam Gigandet, Sasha Alexander, Elliott Gould",United States,"April 30, 2020",2020,TV-14,97 min,"A broke caregiver unexpectedly inherits her patient's estate, but dark secrets swirl around her newfound wealth, tangling her in deceit and danger.",5
980,Movie,Chris D'Elia: No Pain,Chris D'Elia,United States,"April 14, 2020",2020,TV-MA,55 min,Chris D'Elia takes the stage in Minneapolis to offer his thoughts on everything from self-censorship to problematic dolphins to lame mutant powers.,1
837,Movie,Bulletproof 2,"Faizon Love, Kirk Fox, Tony Todd, Pearl Thusi, Cassie Clare, Fiona Ramsey, Neels Clasen, Roxy Nel",United States,"January 9, 2020",2020,TV-MA,97 min,A special agent abruptly reunites with a criminal – once a former friend – when he attempts to use his identity to infiltrate and take down a cartel.,5
4936,Movie,Tigertail,"Tzi Ma, Christine Ko, Hong-Chi Lee, Hayden Szeto, Kunjue Li, Fiona Fu, James Saito, Joan Chen",United States,"April 10, 2020",2020,PG,91 min,A man reflects on the lost love of his youth and his long-ago journey from Taiwan to America as he begins to reconnect with his estranged daughter.,5
1492,Movie,Father Soldier Son,,United States,"July 17, 2020",2020,R,100 min,"After a single father is severely wounded in Afghanistan, he and his sons embark on a journey of sacrifice and a search for redemption.",4
1720,Movie,Go! Go! Cory Carson: The Chrissy,"Alan C. Lim, Maisie Benson, Kerry Gudjohnsen, Terrance Smith, Paul Killam, Omari Weaver, Ella Joy Ballesteros, Smith Foreman, Stanley Moore",United States,"May 1, 2020",2020,TV-Y,42 min,"The Carson kids win a talent show with a dance that Cory created. But when ""The Chrissy"" catches on, his little sister gets all of the attention.",4
1389,Movie,Elf Pets: Santa’s Reindeer Rescue,"Brad Hyland, Drew Barber, Ashley Roberts, Lowrey Brown, Kristyl Tift, Manny Mahen, Olivia Berkeley, Eleanor Rocha",United States,"November 1, 2020",2020,TV-Y,27 min,"Determined to help Santa get ready for his merry rounds of gift-giving, a team of special elves wrangles in more reindeer and much-needed holiday magic.",2
1127,Movie,Dance Dreams: Hot Chocolate Nutcracker,Debbie Allen,United States,"November 27, 2020",2020,TV-G,81 min,"This documentary spotlights Debbie Allen's career and follows her group of dance students as they prepare for Allen's annual ""Hot Chocolate Nutcracker.""",4
4806,Movie,The Stand at Paxton County,"Jacqueline Toboni, Michael O'Neill, Tyler Jacob Moore, Christopher McDonald, Sean O'Bryan, Blake Sheldon, Zoe Kanters, Greg Perrow, Tanner Thomason",United States,"May 2, 2020",2020,R,103 min,A military veteran comes home to find her father harassed by a sheriff intent on confiscating the livestock on their ranch under shady pretenses.,3
4853,Movie,The Vanished,"Thomas Jane, Anne Heche, Jason Patric, John D. Hickman, Peter Facinelli, Alex Haydon, Aleksei Archer, Kristopher Wente",United States,"January 15, 2021",2020,R,115 min,"When their daughter disappears during a family vacation, two terrified parents launch their own investigation that soon exposes local secrets.",5
1311,Movie,Dragonheart: Vengeance,"Joseph Millson, Jack Kane, Helena Bonham Carter, Arturo Muselli, Carolina Carlsson, Tam Williams, Richard Ashton, Ross O'Hennessy, Cameron Jack, Fabienne Piolini-Castle",United States,"February 4, 2020",2020,PG-13,97 min,"When his family is slain by vicious savages, a young farmer teams with an ice-breathing dragon and sword-wielding mercenary to avenge their deaths.",6
1314,Movie,Dragons: Rescue Riders: Hunt for the Golden Dragon,"Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Jeff Bennett, Grey Griffin, Mary Elizabeth McGlynn",United States,"March 27, 2020",2020,TV-Y,46 min,"It's the treasure hunt of a lifetime for the Rescue Riders, who must race to find a precious golden dragon egg and protect it from evil pirates.",1
1315,Movie,Dragons: Rescue Riders: Huttsgalor Holiday,"Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Roshon Fegan, Grey Griffin, Brad Grusnick, Sam Lavagnino, John C. McGinley, Roger Craig Smith",United States,"November 24, 2020",2020,TV-Y,46 min,Snowfall marks the start of Odinyule — the Viking holiday of giving! But crazy weather might cancel the tradition unless the Rescue Riders can swoop in.,3
1316,Movie,Dragons: Rescue Riders: Secrets of the Songwing,"Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Renée Elise Goldsberry",United States,"July 24, 2020",2020,TV-Y,46 min,"When a musical dragon with a beautiful voice hypnotizes the dragons and people of Huttsgalor, the Rescue Riders have to find a way to break the spell.",5
4794,Movie,The Social Dilemma,"Skyler Gisondo, Kara Hayward, Vincent Kartheiser",United States,"September 9, 2020",2020,PG-13,94 min,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",2
4799,Movie,The Speed Cubers,,United States,"July 29, 2020",2020,TV-PG,41 min,This documentary captures the extraordinary twists and turns in the journeys of Rubik's Cube-solving champions Max Park and Feliks Zemdegs.,8
1268,Movie,Dolly Parton’s Christmas on the Square,"Dolly Parton, Christine Baranski, Treat Williams, Jenifer Lewis, Josh Segarra, Jeanine Mason, Mary Lane Haskell",United States,"November 22, 2020",2020,TV-PG,99 min,"Seasonal cheer comes to a screeching halt when a cold-hearted woman tries to sell her hometown's land. Can music, magic and memories change her mind?",6
885,Movie,Captain Underpants Mega Blissmas,"Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Jim Cummings, Jorge Diaz",United States,"December 4, 2020",2020,TV-Y7,46 min,Christmas gets weird — really weird — after George and Harold go back in time to change up a few of their beloved holiday's traditions.,5
1388,Movie,Elf Pets: A Fox Cub’s Christmas Tale,"Leslie Bellair, Brad Hyland, Brody Rose, Carol Aebersold",United States,"November 1, 2020",2020,TV-Y,28 min,An elite team of elves – and their furry fox cub friends – help bring the Christmas spirit to a boy whose mom may not make it home for the holidays.,4
1182,Movie,Death to 2020,"Samuel L. Jackson, Hugh Grant, Lisa Kudrow, Kumail Nanjiani, Tracey Ullman, Samson Kayo, Leslie Jones, Diane Morgan, Cristin Milioti, Joe Keery",United States,"December 27, 2020",2020,TV-MA,71 min,"As the year we all want to end finally does, take a look back at 2020's mad glory in this comedic retrospective from the creators of ""Black Mirror.""",6
4889,Movie,The Wrong Missy,"David Spade, Lauren Lapkus, Nick Swardson, Geoff Pierson, Jackie Sandler, Sarah Chalke, Rob Schneider, Chris Witaske, Joe Anoa'i, Molly Sims",United States,"May 13, 2020",2020,TV-MA,90 min,"Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date.",7
1210,Movie,Desperados,"Nasim Pedrad, Anna Camp, Lamorne Morris, Heather Graham, Robbie Amell, Sarah Burns, Jessica Chaffin",United States,"July 3, 2020",2020,TV-MA,107 min,"After drunkenly sending a cringeworthy email, hopeless romantic Wes heads to Mexico with her best friends to erase the note before her new love reads it.",8
1235,Movie,Dick Johnson Is Dead,,United States,"October 2, 2020",2020,PG-13,90 min,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",3
3263,Movie,Operation Christmas Drop,"Kat Graham, Alexander Ludwig, Virginia Madsen, Janet Kidder, Jeff Joseph, Bethany Brown, Trezzo Mahoro, Rohan Campbell, Aliza Vellani, Aaron Douglas, Xavier de Guzman, Bruce Best",United States,"November 5, 2020",2020,TV-G,96 min,A by-the-book political aide falls for a big-hearted Air Force pilot while looking to shut down his tropical base and its airborne Christmas tradition.,5
4063,Movie,Straight Up,"James Sweeney, Katie Findlay, Randall Park, Hillary Anne Matthews, James Scully, Betsy Brandt",United States,"June 26, 2020",2020,TV-MA,96 min,"When a gay brainiac with OCD questions his identity, he enters a romantic relationship with a woman, leaving sex and physical intimacy out of it.",1
3380,Movie,Pete Davidson: Alive From New York,Pete Davidson,United States,"February 25, 2020",2020,TV-MA,50 min,"Comedian and ""SNL"" star Pete Davidson drops a candid and intimate stand-up special shot live in New York City.",1
4171,Movie,Taylor Tomlinson: Quarter-Life Crisis,Taylor Tomlinson,United States,"March 3, 2020",2020,TV-MA,61 min,"She's halfway through her 20s — and she's over it. Too old to party, too young to settle down, comedian Taylor Tomlinson takes aim at her life choices.",7
4014,Movie,Spenser Confidential,"Mark Wahlberg, Winston Duke, Alan Arkin, Bokeem Woodbine, Iliza Shlesinger, Hope Olaide Wilson, Marc Maron",United States,"March 6, 2020",2020,R,111 min,"Spenser, an ex-cop and ex-con, teams up with aspiring fighter Hawk to uncover a sinister conspiracy tied to the deaths of two Boston police officers.",7
4013,Movie,Spelling the Dream,,United States,"June 3, 2020",2020,TV-G,83 min,"Following four hopeful competitors, this documentary explores Indian Americans' decades-long success at the biggest spelling contest in the U.S.",7
3469,Movie,Project Power,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly, Tait Fletcher, Allen Maldonado, Andrene Ward-Hammond",United States,"August 14, 2020",2020,R,113 min,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",8
2984,Movie,Mucho Mucho Amor: The Legend of Walter Mercado,Walter Mercado,United States,"July 8, 2020",2020,TV-14,96 min,"Dazzling and tender-hearted, legendary astrologer Walter Mercado vanished at the peak of his fame. This documentary poignantly explains what happened.",5
4018,Movie,Spirit Riding Free: Ride Along Adventure,"Amber Frank, Bailey Gambertoglio, Sydney Park, Katey Sagal, Rachel Kimsey, Darcy Rose Byrnes, Duncan Joiner, Bella Aboulhosn, Kai Scott",United States,"December 8, 2020",2020,TV-Y7,79 min,Join Lucky and her friends on an interactive mission to save Maricela’s beloved mare from greedy horse thieves who've taken her captive with a wild herd.,6
4089,Movie,Sugar High,Hunter March,United States,"July 31, 2020",2020,TV-G,44 min,"Talented sugar artists compete for $10,000 over two rounds of competition — candy and sugar sculpture — in this ""Sugar Rush"" spinoff special.",5
3089,Movie,Natalie Palamides: Nate - A One Man Show,Natalie Palamides,United States,"December 1, 2020",2020,TV-MA,60 min,"Tough talk takes a soft turn as Nate, played by comedian Natalie Palamides, explores humor, heartbreak, sexuality and consent — with a live audience.",7
3148,Movie,Norm of the North: Family Vacation,"Andrew Toth, Lisa Durupt, Jonathan Holmes, Paul Dobson, Cole Howard, Brian Drummond, Jennifer Cameron",United States,"May 25, 2020",2020,TV-Y7,89 min,"Stressed by his duties as king and father, Norm must secretly find his stolen crown while taking his family on a much-needed vacation.",5
2958,Movie,Mosul,"Suhail Dabbach, Adam Bessa, Is'haq Elias, Qutaiba Abdelhaq, Ahmad El Ghanem, Hicham Ouarqa, Mohimen Mahbuba, Thaer Al-Shayei, Abdellah Bensaid, Faycal Attougui, Mohamed Attougui, Tarik Belmekki, Hayat Kamille, Seema Al Khalidi, Waleed Algadi",United States,"November 26, 2020",2020,TV-MA,103 min,"After his life is saved by a rogue Iraqi squadron, a young police officer joins them in their fight against ISIS in a decimated Mosul.",1
