,type,Titulo_movie,cast,country,date_added,release_year,rating,Duration_movie,description,number
3677,Movie,Roped,"Josh Swickard, Casper Van Dien, Lorynn York, Christina Moore, John Schneider, Michael Roark, Shane Graham, Cooper Lundeen, Javicia Leslie, Spencer Neville",United States,"May 2, 2020",2020,PG,90 min,A star cowboy in a traveling rodeo gets thrown off course when he falls in love with the daughter of a tough-minded town councilman.,4
3735,Movie,Sam Jay: 3 In The Morning,Sam Jay,United States,"August 4, 2020",2020,TV-MA,64 min,"Comedian and ""Saturday Night Live"" writer Sam Jay serves up fresh takes on relationships, travel nightmares, the audacity of white people and more.",5
882,Movie,Canvas,,United States,"December 11, 2020",2020,G,9 min,"After a heartbreaking loss, a grandfather struggling to reclaim his passion for painting finds the inspiration to create again.",6
3879,Movie,Shawn Mendes: In Wonder,Shawn Mendes,United States,"November 23, 2020",2020,TV-MA,83 min,"Over the course of a world tour, this unguarded documentary follows Shawn Mendes as he opens up about his stardom, relationships and musical future.",7
3761,Movie,Sarah Cooper: Everything's Fine,"Sarah Cooper, Fred Armisen, Maya Rudolph, Ben Stiller, Megan Thee Stallion, Jane Lynch, Jon Hamm, Aubrey Plaza, Connie Chung, Jordan Black, Tommy Davidson, Helen Mirren, Jonathan Van Ness, Danielle Brooks, Winona Ryder, Marcella Arguello, Eddie Pepitone, Marisa Tomei, Whoopi Goldberg, Tom Kane",United States,"October 27, 2020",2020,TV-MA,50 min,"Comedian and Trump lip-synching sensation Sarah Cooper tackles politics, race and other light topics in a sketch special packed with celebrity guests.",5
3842,Movie,Sergio,"Wagner Moura, Ana de Armas, Brían F. O'Byrne, Clemens Schick, Bradley Whitford",United States,"April 17, 2020",2020,R,119 min,"Passions, ideals and bitter realities collide as charismatic UN diplomat Sergio Vieira de Mello becomes trapped in a life-threatening situation in Iraq.",3
3827,Movie,Secrets of the Saqqara Tomb,,United States,"October 28, 2020",2020,TV-PG,114 min,"After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the extraordinary find.",5
3617,Movie,Riding Faith,"John Schneider, T.C. Stallings, Grace Van Dien, Marisa Brown, Jimmy Deshler",United States,"June 17, 2020",2020,TV-PG,81 min,"Following her father's death, a young woman struggles to help her mother keep the family ranch afloat while preserving a special bond with her horse.",3
3638,Movie,"Rob Schneider: Asian Momma, Mexican Kids",Rob Schneider,United States,"August 11, 2020",2020,TV-MA,44 min,"Former ""Saturday Night Live"" star Rob Schneider returns to the stage and shares his take on life, love and dinosaur dreams in this stand-up special.",4
3656,Movie,Rogue Warfare: The Hunt,"Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Chris Mulkey, Stephen Lang",United States,"August 1, 2020",2020,R,104 min,"When their leader is captured by an extremist organization, a special forces team stages a perilous rescue mission as time runs out.",8
3593,Movie,Residue,"Obinna Nwachukwu, Dennis Lindsey, Taline Stewart, Derron Scott, Jamal Graham, JaCari Dye, Julian Selman, Melody Tally, Ramon Thompson, Hasinatu Camara",United States,"September 17, 2020",2020,TV-MA,90 min,A young screenwriter returns to his hometown to write a script based on his childhood and discovers his neighborhood has been gentrified.,8
4476,Movie,The Half Of It,"Leah Lewis, Daniel Diemer, Alexxis Lemire, Wolfgang Novogratz, Collin Chou, Becky Ann Baker, Enrique Murciano, Macintyre Dixon, Catherine Curtin",United States,"May 1, 2020",2020,PG-13,105 min,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend — or fall for his crush.",6
2412,Movie,Kiss the Ground,Woody Harrelson,United States,"September 22, 2020",2020,TV-G,85 min,Science experts and celebrity activists unpack the ways in which the earth's soil may be the key to combating climate change and preserving the planet.,7
4382,Movie,The Devil All The Time,"Tom Holland, Bill Skarsgård, Riley Keough, Robert Pattinson, Mia Wasikowska, Jason Clarke, Sebastian Stan, Haley Bennett, Harry Melling, Eliza Scanlen",United States,"September 16, 2020",2020,R,139 min,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,1
2489,Movie,Larry the Cable Guy: Remain Seated,Larry the Cable Guy,United States,"November 26, 2020",2020,TV-14,68 min,"With his signature call to ""Git-R-Done,"" Larry muses on swampy weather, late-night shopping at Walmart and other raunchy tales of life in rural America.",9
4376,Movie,The Debt Collector 2,"Scott Adkins, Louis Mandylor, Vladimir Kulich, Marina Sirtis, Ski Carr, Charity Collins, Mayling Ng, Josef Cannon, Jermaine Jacox, Vernon Wells",United States,"August 31, 2020",2020,TV-MA,97 min,"French and Sue have two days to collect on three debts, using as much force as it takes – all while evading the wrath of a crime lord out for revenge.",3
2532,Movie,Leslie Jones: Time Machine,Leslie Jones,United States,"January 14, 2020",2020,TV-MA,66 min,"From trying to seduce Prince to battling sleep apnea, Leslie Jones traces her evolution as an adult in a joyfully raw and outrageous stand-up special.",4
2237,Movie,Jingle Jangle: A Christmas Journey,"Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin, Justin Cornwell, Sharon Rose, Lisa Davina Phillip, Kieron Dyer",United States,"November 13, 2020",2020,PG,124 min,"Decades after his trusted apprentice betrayed him, a once-joyful toymaker finds new hope when his kind and curious granddaughter comes into his life.",7
2242,Movie,Jo Koy: In His Elements,"Jo Koy, Andrew Lopez, Joey Guila, Andrew Orolfo",United States,"June 12, 2020",2020,TV-MA,55 min,"Jo Koy brings the laughs and beats to Manila, spotlighting local culture in a one-of-a-kind show featuring Filipino American comedians, DJs and B-boys.",2
2849,Movie,Michelle Buteau: Welcome to Buteaupia,Michelle Buteau,United States,"September 29, 2020",2020,TV-MA,59 min,"Scene-stealing queen Michelle Buteau dazzles with real talk on relationships, parenthood, cultural differences and the government workers who adore her.",1
4441,Movie,The Forty-Year-Old Version,"Radha Blank, Peter Kim, Oswin Benjamin, Imani Lewis, Haskiri Velazquez, Antonio Ortiz, T.J. Atoms, Reed Birney",United States,"October 9, 2020",2020,R,124 min,"Desperate for a breakthrough as she nears the big 4-0, struggling New York City playwright Radha finds inspiration by reinventing herself as a rapper.",8
4338,Movie,The Claudia Kishi Club,,United States,"July 10, 2020",2020,TV-14,17 min,"Asian American creatives pay passionate tribute to the iconic, stereotype-busting ""Baby-Sitters Club"" character in this heartfelt documentary short.",7
2257,Movie,John Henry,"Terry Crews, Ludacris, Jamila Velazquez, J.J. Soria, Ken Foree, Daffany Clark, Kimberly Hébert-Gregory, Tyler Alvarez",United States,"May 9, 2020",2020,R,92 min,A reformed LA gang member upends his peaceful new life when he steps in to protect two young immigrants from his violent former leader.,8
2735,Movie,MANK,"Gary Oldman, Amanda Seyfried, Charles Dance, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann",United States,"December 4, 2020",2020,R,133 min,1930s Hollywood is reevaluated through the eyes of scathing wit and alcoholic screenwriter Herman J. Mankiewicz as he races to finish “Citizen Kane.”,9
2751,Movie,Marc Maron: End Times Fun,Marc Maron,United States,"March 10, 2020",2020,TV-MA,71 min,"Marc Maron wades through a swamp of vitamin hustlers, evangelicals and grown male nerd children, culminating in a gleefully filthy end-times fantasy.",5
4248,Movie,The Babysitter: Killer Queen,"Judah Lewis, Jenna Ortega, Emily Alyn Lind, Andrew Bachelor, Robbie Amell, Bella Thorne, Hana Mae Lee, Ken Marino, Leslie Bibb, Chris Wylde, Carl McDowell",United States,"September 10, 2020",2020,TV-MA,102 min,"Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.",9
4237,Movie,The App That Stole Christmas,"Jackie Long, Diane Marie Howard, Jaylin Hall, Miguel A. Núñez Jr., Ray J, JayQ The Legend, J. Anthony Brown, Kenny Rhodes, Amber Cosich",United States,"November 20, 2020",2020,TV-PG,64 min,"A tech entrepreneur's Christmas shopping app is a smashing success, but he starts to realize his invention might be ruining the holiday spirit.",2
2211,Movie,Jerry Seinfeld: 23 Hours To Kill,Jerry Seinfeld,United States,"May 5, 2020",2020,TV-PG,61 min,"Jerry Seinfeld takes the stage in New York and tackles talking vs. texting, bad buffets vs. so-called ""great"" restaurants and the magic of Pop Tarts.",5
2886,Movie,Miss Americana,Taylor Swift,United States,"January 31, 2020",2020,TV-MA,85 min,"In this revealing documentary, Taylor Swift embraces her role as a songwriter and performer — and as a woman harnessing the full power of her voice.",8
4209,Movie,The 2nd,"Ryan Phillippe, Casper Van Dien, Jack Griffo, Lexi Simonsen, Richard Burgi, William Katt, Samaire Armstrong, William McNamara, Jacob Grodnik",United States,"November 30, 2020",2020,TV-MA,93 min,"A Secret Service agent is drawn into a terrorist plot when his son's classmate, the daughter of a Supreme Court Justice, is targeted for kidnapping.",8
2602,Movie,London Hughes: To Catch a D*ck,London Hughes,United States,"December 22, 2020",2020,TV-MA,68 min,Bawdy comedian and television presenter London Hughes revisits her past in this acclaimed breakout special filled with unfiltered tales and wild stories.,5
2720,Movie,Malibu Rescue: The Next Wave,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, Jeff Meacham, Ella Gross, Carlos Sanson, JT Neal, Camaron Engels, Kirrilee Berger",United States,"August 4, 2020",2020,TV-G,71 min,"As summer returns to Malibu, Team Flounder takes to the beach to host — and unexpectedly compete in — the International Beachmaster Competition.",5
2617,Movie,Lost Girls,"Amy Ryan, Gabriel Byrne, Thomasin McKenzie, Lola Kirke, Oona Laurence, Dean Winters, Miriam Shor, Reed Birney, Kevin Corrigan, Stan Carp",United States,"March 13, 2020",2020,R,95 min,"Desperate to find her missing daughter, a mother fights to uncover the truth — and helps expose a string of unsolved murders. Based on a true story.",8
4297,Movie,The Boys in the Band,"Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesús, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins",United States,"September 30, 2020",2020,R,122 min,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.",7
2679,Movie,Ma Rainey's Black Bottom,"Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo, Michael Potts, Jonny Coyne, Taylour Paige, Jeremy Shamos, Dusan Brown, Joshua Harto",United States,"December 18, 2020",2020,R,94 min,"Tensions and temperatures rise at a Chicago music studio in 1927 when fiery, fearless blues singer Ma Rainey joins her band for a recording session.",3
2711,Movie,Making The Witcher,"Henry Cavill, Anya Chalotra, Freya Allan, Eamon Farren, Mimi Ndiweni, Adam Levy, MyAnna Buring, Joey Batey, Lauren Schmidt Hissrich, Tomasz Bagiński, Andrew Laws, Sneha Koorse, Declan De Barra, Beau DeMayo, Simon Emanuel, Iván Pohárnok, Tim Aslam, Charlotte Brändström",United States,"August 26, 2020",2020,TV-MA,33 min,"Journey into the extraordinary world of ""The Witcher"" — from casting the roles to Jaskier's catchy song — in this behind-the-scenes look at the series.",5
4289,Movie,The Boss Baby: Get That Baby!,"JP Karliak, Pierce Gagnon, Alex Cazares, Kevin Michael Richardson, Flula Borg, Rhys Darby, Wendie Malick, Jake Green",United States,"September 1, 2020",2020,TV-Y7,115 min,Think you've got what it takes to be the boss? This interactive special puts your skills to the test and matches you up with one of 16 jobs at Baby Corp.,4
2363,Movie,Kevin Hart: Zero F**ks Given,Kevin Hart,United States,"November 17, 2020",2020,TV-MA,70 min,"Kevin Hart serves up laughs and brick oven pizza from the comfort of his home, and dishes on male group chats, sex after 40 and life with COVID-19.",8
2646,Movie,"Love, Guaranteed","Rachael Leigh Cook, Damon Wayans Jr., Heather Graham, Caitlin Howden, Brendan Taylor, Sebastian Billingsley-Rodriguez, Sean Amsing, Lisa Durupt, Alvin Sanders, Jed Rees, Kandyse McClure",United States,"September 3, 2020",2020,TV-PG,91 min,Sparks fly when a crusading but cash-strapped attorney takes on a charming client looking to sue a dating site that guarantees its users will find love.,6
275,Movie,Airplane Mode,"Larissa Manoela, André Luiz Frambach, Erasmo Carlos, Mariana Amâncio, Amanda Orestes, Eike Duarte, Nayobe Nzainab, Katiuscia Canoro, Phellyx Moura, Dani Ornellas, Michel Bercovitch, Sílvia Lourenço",United States,"January 23, 2020",2020,TV-PG,97 min,"When Ana, an influencer, crashes her car while talking on the phone, she’s shipped to her grumpy grandfather's farm – and forced into a digital detox.",3
5087,Movie,Uncorked,"Mamoudou Athie, Courtney B. Vance, Niecy Nash, Sasha Compère, Bernard D. Jones, Gil Ozeri, Matt McGorry, Meera Rohit Kumbhani",United States,"March 27, 2020",2020,TV-MA,104 min,A young man feels torn between his dream of becoming a master sommelier and his father’s expectations that he’ll take over the family barbecue business.,2
364,Movie,American Pie 9: Girls' Rules,"Madison Pettis, Lizze Broadway, Piper Curda, Natasha Behnam, Darren Barnet, Sara Rue, Zachary Gordon, Camaron Engels, Christian Valderrama, Zayne Emory",United States,"October 6, 2020",2020,R,96 min,Four tight-knit high school seniors vow to turn their love lives around by homecoming when the arrival of a new student muddles their plans.,7
5228,Movie,Welcome to Sudden Death,"Michael Jai White, Michael Eklund, Sabryn Rock, Nakai Takawira, Lyric Justice, Sagine Semajuste, Gary Owen, Anthony Grant, Kristen Harris, BJ Verot, Sean Skene, Marrese Crump, Stephanie Sy, Jeff Strome, Adam Hurtig, Gillian White, Anthony J. Mifsud",United States,"September 29, 2020",2020,R,80 min,"At a basketball game, an ex-Special Forces officer must face a group of tech-savvy hostiles when a team owner and his daughter are taken hostage.",8
405,Movie,Angela's Christmas Wish,"Lucy O'Connell, Brendan Mullins, Ruth Negga, Lola Metcalfe, Jared Harris, Moe Dunford, Oscar Butler, Shona Hamill, Pat Kinevane, Janet Moran, Anya O'Connor",United States,"December 1, 2020",2020,TV-Y,48 min,"With her father working far away in Australia, a determined Angela makes a plan — and a heartfelt wish — to reunite her family in time for the holidays.",8
157,Movie,A Love Song for Latasha,,United States,"September 21, 2020",2020,TV-PG,20 min,The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old's life and dreams.,8
5208,Movie,We Can Be Heroes,"YaYa Gosselin, Pedro Pascal, Priyanka Chopra, Isaiah Russell-Bailey, Akira Akbar, Christian Slater, Boyd Holbrook, Adriana Barraza, Taylor Dooley, Vivien Lyra Blair, Hala Finley, Lyon Daniels, Sung Kang, Christopher McDonald, Andy Walken, Lotus Blossom, Haley Reinhart, Nathan Blair, Dylan Henry Lau, Andrew Diaz",United States,"December 25, 2020",2020,PG,101 min,"When alien invaders capture Earth’s superheroes, their kids must learn to work together to save their parents — and the planet.",1
5081,Movie,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,"Ellie Kemper, Jane Krakowski, Tituss Burgess, Carol Kane, Jon Hamm, Daniel Radcliffe, Lauren Adams, Sara Chase, Sol Miranda, Amy Sedaris, Mike Carlsen, Dylan Gelula, Chris Parnell, Heidi Gardner, Jack McBrayer, Zak Orth, Fred Armisen, Johnny Knoxville",United States,"May 12, 2020",2020,TV-14,190 min,"It's an interactive Kimmy special! Kimmy's getting married, but first she has to foil the Reverend's evil plot. It's your move: What should she do next?",8
308,Movie,Alien Xmas,"Keythe Farley, Dee Bradley Baker, Kaliayh Rhambo, Michelle Deco, Barbara Goodson",United States,"November 20, 2020",2020,TV-Y,42 min,"A young elf mistakes a tiny alien for a Christmas gift, not knowing her new plaything has plans to destroy Earth's gravity — and steal all the presents.",7
140,Movie,A Go! Go! Cory Carson Christmas,"Alan C. Lim, Taron C. Hensley, Maisie Benson, Kerry Gudjohnsen, Paul Killam, Smith Foreman, Ann Kendrick, Ella Joy Ballesteros, Neena-Sinaii Simpo, Eli Morse",United States,"November 27, 2020",2020,TV-Y,22 min,"When a familiar-looking stranger crashes in without a memory, Cory helps him remember the magic of Christmas to save the holiday for everyone.",4
131,Movie,A Fall from Grace,"Crystal Fox, Phylicia Rashad, Cicely Tyson, Bresha Webb, Mehcad Brooks, Adrian Pasdar, Tyler Perry",United States,"January 17, 2020",2020,TV-MA,121 min,"When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry.",1
322,Movie,All The Bright Places,"Elle Fanning, Justice Smith, Luke Wilson, Keegan-Michael Key, Alexandra Shipp, Lamar Johnson, Virginia Gardner, Kelli O'Hara, Felix Mallard, Sofia Hasmik",United States,"February 28, 2020",2020,TV-MA,109 min,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,8
326,Movie,All Together Now,"Auli'i Cravalho, Justina Machado, Rhenzy Feliz, Fred Armisen, Carol Burnett, Judy Reyes, Taylor Richardson, C.S. Lee, Anthony Jacques",United States,"August 29, 2020",2020,PG,94 min,"An optimistic, talented teen clings to a huge secret: She's homeless and living on a bus. When tragedy strikes, can she learn to accept a helping hand?",1
5118,Movie,Uppity: The Willy T. Ribbs Story,Willy T. Ribbs,United States,"February 5, 2020",2020,TV-MA,106 min,"This documentary profiles a defiant driver who challenged racial barriers in American auto racing, becoming the first black man to race in the Indy 500.",1
622,Movie,Ben Platt Live from Radio City Music Hall,Ben Platt,United States,"May 20, 2020",2020,TV-PG,85 min,"Backed by a full band and a ready wit, actor Ben Platt opens up a very personal songbook onstage —numbers from his debut LP, ""Sing to Me Instead.”",6
164,Movie,A New York Christmas Wedding,"Nia Fairweather, Chris Noth, Cooper Koch, Tyra Ferrell, Denny Dillon, Adriana DeMeo, Otoja Abit, David Anzuelo, Camilla Harden, Natasha Goodman, Avery Whitted, Tony D. Head, Joe Perrino",United States,"November 5, 2020",2020,TV-MA,90 min,"As her wedding nears, a bride-to-be is visited by an angel who reveals what could have been if she'd followed feelings for her childhood best friend.",8
637,Movie,Bert Kreischer: Hey Big Boy,Bert Kreischer,United States,"March 17, 2020",2020,TV-MA,62 min,"Ever the stand-up party animal, comic Bert Kreischer riffs on parenting and family life, being a gun and pet owner, his dad discovering pot, and more.",6
5259,Movie,Wheels of Fortune,"Matt Jones, Noureen DeWulf, John Ducey, Matty Cardarople, Jeff Fahey, Christina Moore, Gabriel Tigerman, Ali Afshar, Tyler Jacob Moore, Jessica Serfaty",United States,"November 1, 2020",2020,R,107 min,"To claim a big inheritance, a down-on-his-luck mechanic must win a series of competitions as outlined in his birth father's will.",8
5355,Movie,You Are My Home,"Alyssa Milano, Angel Parker, Cristián de la Fuente, Eva Ariel Binder, Joel Steingold",United States,"December 4, 2020",2020,TV-PG,93 min,"After becoming separated from her family, a young girl finds herself in the care of a heartbroken woman who faces her own struggles.",2
262,Movie,After We Collided,"Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Selma Blair, Louise Lombard, Shane Paul McGhie, Candice King, Charlie Weber, Khadijha Red Thunder, Inanna Sarkis, Pia Mia, Samuel Larsen, Dylan Arnold, Karimah Westbrook, Rob Estes",United States,"December 22, 2020",2020,R,105 min,"Tessa fell hard and fast for Hardin, but after a betrayal tears them apart, she must decide whether to move on — or trust him with a second chance.",2
5317,Movie,Work It,"Sabrina Carpenter, Jordan Fisher, Liza Koshy, Keiynan Lonsdale, Michelle Buteau, Drew Ray Tanner",United States,"August 7, 2020",2020,TV-14,94 min,A brilliant but clumsy high school senior vows to get into her late father’s alma mater by transforming herself and a misfit squad into dance champions.,1
314,Movie,All Day and a Night,"Jeffrey Wright, Ashton Sanders, Regina Taylor, Yahya Abdul-Mateen II, Isaiah John, Kelly Jenrette, Shakira Ja-nai Paye",United States,"May 1, 2020",2020,R,122 min,"While serving life in prison, a young man looks back at the people, the circumstances and the system that set him on the path toward his crime.",3
723,Movie,BLACKPINK: Light Up the Sky,Blackpink,United States,"October 14, 2020",2020,TV-14,80 min,Record-shattering Korean girl band BLACKPINK tell their story — and detail the hard-fought journey of the dreams and trials behind their meteoric rise.,1
5349,Movie,"Yes, God, Yes","Natalia Dyer, Timothy Simons, Wolfgang Novogratz, Francesca Reale, Susan Blackwell, Alisha Boe, Donna Lynne Champlin, Parker Wierling",United States,"October 22, 2020",2020,R,78 min,"A devoutly religious teen grapples with her own sexual awakening, and attends a Catholic school retreat in the hopes of suppressing her newfound urges.",9
331,Movie,Almost Love,"Scott Evans, Augustus Prew, Kate Walsh, Michelle Buteau, Zoë Chao, Patricia Clarkson, Colin Donnell, Christopher Gray",United States,"August 2, 2020",2020,TV-MA,92 min,A close crew of striving New Yorkers experiences both joy and heartache in their romantic and professional lives.,4
445,Movie,"Ariana grande: excuse me, i love you",Ariana Grande,United States,"December 21, 2020",2020,TV-MA,98 min,Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,3
599,Movie,Becoming,Michelle Obama,United States,"May 6, 2020",2020,PG,89 min,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others as she tours with ""Becoming.""",9
542,Movie,Banana Split,"Hannah Marks, Liana Liberato, Dylan Sprouse, Luke Spencer Roberts, Jessica Hecht, Addison Riecke, Meagan Kimberly Smith, Haley Ramm",United States,"July 26, 2020",2020,TV-MA,84 min,"Despite leaving for college, a heartsick teen tries to build a new friendship with a kindred spirit even though she's dating her ex-boyfriend.",1
5239,Movie,WHAT DID JACK DO?,David Lynch,United States,"January 20, 2020",2020,TV-14,17 min,A detective interrogates a monkey who is suspected of murder.,8
118,Movie,A California Christmas,"Lauren Swickard, Josh Swickard, Ali Afshar, David Del Rio, Natalia Mann, Katelyn Epperly, Gunnar Anderson, Julie Lancaster, Amanda Detmer",United States,"December 14, 2020",2020,PG-13,107 min,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family’s land before Christmas.",2
176,Movie,A Secret Love,,United States,"April 29, 2020",2020,TV-14,83 min,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",7
755,Movie,Bobbleheads The Movie,"Jennifer Coolidge, Karen Fukuhara, Khary Payton, Julian Sands, Brenda Song, Luke Wilson, Cher",United States,"December 8, 2020",2020,PG,83 min,A team of bobbleheads band together to defend their collector’s home when uninvited relatives barge in looking to steal from his prized collection.,7
468,Movie,Athlete A,,United States,"June 24, 2020",2020,PG-13,104 min,This documentary focuses on the gymnasts who survived USA Gymnastics doctor Larry Nassar's abuse and the reporters who exposed USAG's toxic culture.,8
363,Movie,American Murder: The Family Next Door,,United States,"September 30, 2020",2020,TV-MA,84 min,"Using raw, firsthand footage, this documentary examines the disappearance of Shanann Watts and her children, and the terrible events that followed.",7
482,Movie,Ava,"Jessica Chastain, Colin Farrell, John Malkovich, Common, Geena Davis, Jess Weixler, Diana Silvers, Joan Chen, Ioan Gruffudd",United States,"December 7, 2020",2020,R,97 min,An elite assassin wrestling with doubts about her work scrambles to protect herself — and her estranged family — after a hit goes dangerously wrong.,2
559,Movie,Barbie Princess Adventure,"America Young, Erica Lindbeck, Ritesh Rajan, Dave Fennoy, Stephanie Sheh, Cristina Milizia, Desirae Whitfield, Emma Galvin, Angelo Restaino, Eamon Brennan, Ogie Banks",United States,"September 1, 2020",2020,TV-Y,72 min,"Through music and magic, Barbie learns what it's like to be a modern princess when she trades places with a royal lookalike.",4
112,Movie,A Babysitter's Guide to Monster Hunting,"Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Lynn Masako Cheng, Ty Consiglio, Ian Ho, Indya Moore, Alessio Scalzotto, Tamsen McDonough",United States,"October 15, 2020",2020,TV-PG,99 min,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",5
5129,Movie,Vampires vs. the Bronx,"Jaden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Method Man, Shea Whigham, Coco Jones, The Kid Mero, Chris Redd, Vladimir Caamaño, Jeremie Harris, Adam David Thompson, Zoe Saldana",United States,"October 2, 2020",2020,PG-13,86 min,Three gutsy kids from a rapidly gentrifying Bronx neighborhood stumble upon a sinister plot to suck all the life from their beloved community.,9
